run,y_hat_mean,y_hat_median,lower,upper,y_true
55,23.983316701956614,23.954204356831845,20.851542756705374,27.328846217995316,27.48239702261831
56,20.161318617798546,20.102825244462508,16.440086167028007,24.08834902917055,22.54153349198636
57,26.31532248189816,26.252701009345266,22.30333686129169,30.61210010551442,26.993104298882383
58,23.11169591666332,23.073655861205282,19.55809498416628,26.810551075652384,20.54402249829903
59,25.664883938341596,25.64819374352075,21.858205376897583,29.614958530365332,28.62131934210013
60,22.123378810308118,22.09791098307038,18.720076946470726,25.69398813001871,21.53989036913962
61,14.456115637157428,14.421956321145734,10.847433771846442,18.271728415451534,14.516578223168455
62,29.3169675268106,29.283457592454276,25.4564049171329,33.398120087185745,28.846704026188828
63,26.432289336948344,26.380160576467194,22.652546890910195,30.372484228096976,22.283723116590824
64,24.81309383100456,24.760807790299275,20.776936228510937,29.060619651872585,25.019265589652576
65,17.554822101265422,17.490428043862252,13.404367749792048,22.014379690178952,15.338814145188696
66,22.606908767531568,22.580274078293208,19.37656268651265,25.98227079075417,22.60297915216338
67,18.72580482155978,18.696792003923846,15.86344483797039,21.75836700672359,18.76218238871395
68,24.03446707197513,23.99240906273602,20.46107766649657,27.865060764835,23.33385120597165
69,20.753947445307354,20.736115106778726,16.65767394578402,25.113167637050005,20.67511067866155
70,23.181083722355893,23.13239255949865,19.31641100579463,27.33960070438759,21.59361266448022
71,12.16703159861803,12.118379044222618,8.910172787247003,15.719464844608765,13.709263159475244
72,17.32380938219882,17.303242627586982,13.955845979010496,20.940102416499464,14.852648235184803
73,17.007475595408582,16.951594031060928,13.133049695444154,21.145936996344076,18.9520139680744
74,22.40497453274746,22.37664880463221,18.658593533553454,26.364524713016237,18.4746700895438
75,30.32245956497302,30.287146175041187,26.13711686630245,34.71994131163095,31.46609180430654
76,13.22335675582968,13.183463891344992,9.660218435849188,17.06271895309887,12.809705453738239
77,9.020959882389707,8.95093669824042,5.8931477988633985,12.525624332840522,8.832688552865996
78,24.781833796506305,24.736352327986488,20.700579228757594,29.04756557315859,23.279789386499388
79,14.249189933668724,14.202298212245422,11.013219024506006,17.71415738970655,14.52667827316629
80,29.13799420299556,29.097569357424323,24.711412276989613,33.79640619890637,31.067739326943315
81,25.93835337749733,25.893787458657357,22.361961709742953,29.692022926879396,23.797651095905767
82,18.482489119781714,18.416918295987358,14.382339032716647,22.90757837803158,20.381240475238563
83,13.895879706144424,13.83324178472025,10.38185720908769,17.742877009430995,12.526559529237133
84,18.704460216360236,18.64971731236069,15.024060631367776,22.688350326058877,20.456785549827025
85,19.63301867161505,19.589098547376175,15.836813949888013,23.650204420140668,18.612425489316852
86,14.546584598738772,14.50982476738796,11.661234902930257,17.658692015833466,13.601692901608429
87,31.213624945578765,31.180406235157992,27.023338233098713,35.47467549677998,30.448868970738708
88,24.318103316337016,24.269007295617826,20.72780859196594,28.11638860710001,24.649704290997448
89,24.850652898198163,24.809702614879615,20.988521736002554,28.89217664305987,26.154530088208357
90,25.814477946277155,25.776493675184973,21.973118313216315,29.8516692943453,26.069098340619345
91,16.522364575270196,16.45760129179412,12.756550901936368,20.617450585940613,16.19219655934982
92,27.57784778250482,27.514850018733007,23.87081199743155,31.538689582529315,27.210091160657043
93,24.271490328504232,24.228864116992522,20.51235065859036,28.210468421523057,21.51127817827718
94,17.119682245789896,17.0983697935774,14.352959414619285,20.004745322249345,15.776124276883357
95,25.059694048457555,25.02834648659624,21.4330493378841,28.890211573953756,23.717652346226433
96,26.274983391392787,26.218488168663427,21.553966596024335,31.337372945029372,23.053754563219012
97,28.030179992643003,27.99913489108208,24.370401189501806,31.90862015114528,24.892633773239105
98,19.307655110495407,19.294829378471444,15.894069212212882,22.807639466082474,20.385246867072162
99,24.216104632054908,24.175896356519424,20.971159063582117,27.644095265936976,23.396466730592078
100,29.417188321239614,29.37382873605369,25.272720916239166,33.7698950790879,29.510718688682594
